Cell,Raw reads,Clean reads,Aligned reads,Mapping rate,Gene number,Transcript number,Cluster
OA1_S0.1,416545,414813,43110,10.40%,828,2387,
OA1_S0.2,287187,285999,46148,16.10%,1054,2184,
OA1_S0.3,520087,510316,25563,5.00%,1069,2366,
OA1_S0.4,202424,199854,22507,11.30%,510,1380,
OA1_S0.5,199683,198470,13615,6.90%,460,774,
OA1_S0.6,106750,105811,4823,4.60%,341,517,
OA1_S0.7,324222,319952,15854,5.00%,755,1479,
OA1_S0.8,211146,209143,21027,10.10%,664,1048,
OA1_S0.9,151655,151331,25531,16.90%,596,1312,
OA1_S0.10,320916,319425,44579,14.00%,773,1899,
OA1_S0.11,136061,133233,28089,21.10%,279,2055,
OA1_S0.12,165799,164536,23544,14.30%,566,972,
OA1_S0.13,440314,424415,30669,7.20%,976,2072,
OA1_S0.14,468277,467114,62033,13.30%,936,2495,
OA1_S0.15,375647,374120,47365,12.70%,1118,2571,
OA1_S0.16,267782,266741,37206,13.90%,870,2013,
OA1_S0.17,320382,311057,48364,15.50%,720,1493,
OA1_S0.18,289885,288836,50845,17.60%,916,1857,
OA1_S0.19,335974,332656,57124,17.20%,885,1996,
OA1_S0.20,219883,217138,10436,4.80%,616,1106,
OA1_S0.21,59285,58565,13079,22.30%,230,357,
OA1_S0.22,229347,228183,74229,32.50%,568,1196,
OA1_S0.23,109175,105203,1656,1.60%,292,396,
OA1_S0.24,304743,304375,32711,10.70%,436,714,
OA1_S0.25,185269,182272,53562,29.40%,462,778,
OA1_S0.26,375393,374454,52342,14.00%,1089,2505,
OA1_S0.27,250159,249649,34886,14.00%,671,1345,
OA1_S0.28,220648,211127,15056,7.10%,610,1185,
OA1_S0.29,285123,284415,42199,14.80%,936,1965,
OA1_S0.30,228659,220572,59705,27.10%,556,1082,
OA1_S0.31,105093,104893,6801,6.50%,423,737,
OA1_S0.32,725143,724728,41988,5.80%,1588,4259,
OA1_S1.1,2082446,2081881,1163674,55.90%,4341,553230,ProC
OA1_S1.2,84217,82277,26548,32.30%,1964,14742,HomC
OA1_S1.3,2775149,2772938,1757743,63.40%,5022,647350,ProC
