id	NA18855_Strain	NA19160_Strain	NA18856_Strain
ENSG00000225972	4.78787667986119	-0.508645851054272	5.27772571890725
ENSG00000225630	4.80896940731275	6.02556933280546	5.14919172751096
ENSG00000237973	6.85651362181831	4.06311799043221	6.00994438500823
ENSG00000248527	7.75531181789884	7.16721288017231	6.88785126074733
ENSG00000198744	-1.18717388845167	7.78198431985069	-0.451702692706757
ENSG00000228794	2.48714806593206	2.49772144589143	2.88996438294277
ENSG00000223764	3.2812076217821	-0.332107869584723	0.787837185918043
ENSG00000187634	3.96119235791336	1.05035309628564	2.09459758971774
ENSG00000188976	5.57847308701525	5.32232170734924	5.77318089986067
ENSG00000187961	3.13327503062468	3.03131465630483	3.55817796570226
ENSG00000187608	3.64872914043794	2.64507499153348	3.69380511794251
ENSG00000188157	8.62035746068482	7.96385223642603	8.23422763404715
ENSG00000131591	2.88504354890781	2.69467592255609	2.3545937736674
ENSG00000078808	8.57543338657255	8.21635717115202	8.08356835816559
ENSG00000176022	5.32361227774292	5.11940667036958	5.24686043486115
ENSG00000160087	5.46154052728105	5.45372538115018	5.65220948687854
ENSG00000131584	5.43712179521501	5.08340373745208	5.6196236048588
ENSG00000169972	3.59057286386201	3.49969608329789	3.58257564054229
ENSG00000127054	5.77853403599361	5.69272663745282	5.9081051128674
ENSG00000224051	4.3659100050249	4.15111712461315	4.74886226848234
ENSG00000107404	5.46278684099432	5.34635253090674	6.2320187197241
ENSG00000162576	5.25486128448127	5.9999197610131	5.11198478838349
ENSG00000175756	5.89313388713444	5.62739561228832	5.99253815836722
ENSG00000221978	6.34225841762751	5.94957546234825	6.1491271329039
ENSG00000224870	4.22564567178829	4.01885597317415	3.82860447235789
ENSG00000242485	5.47965362717591	5.33022194636289	5.19886426811104
ENSG00000160072	4.13302415612681	3.58632778768177	4.14856754649029
ENSG00000197785	4.64610783711004	4.22192005581079	4.62254082307385
ENSG00000160075	6.58824485329177	6.69364451426092	6.84518134400804
ENSG00000228594	2.97327031562687	3.7956342166675	2.94809079544332
ENSG00000197530	6.30879275163627	5.69126960674322	5.7077694377221
ENSG00000189409	4.02422394837787	5.56749079406965	3.49442160127236
ENSG00000248333	3.81081387077389	3.85889199816164	3.98392072698068
ENSG00000189339	5.44581746556249	5.45349247378718	5.08438406112862
ENSG00000008130	5.37842227562063	5.33567249761781	5.49770570894463
ENSG00000078369	8.71241168446751	8.63394626423775	8.97604561884692
ENSG00000162585	4.6110119993256	4.38571385868276	4.76898305113253
ENSG00000157933	6.41201965381704	6.56493250727702	6.55184232204218
ENSG00000157916	7.04541820610748	6.73525016781005	7.06699083062103
ENSG00000157911	3.89965533076217	3.45697079389251	3.37681968118028
ENSG00000157881	4.03003231262276	3.87414059372774	4.32612918632404
ENSG00000157870	3.34682070778349	3.12006387948219	3.37276566002609
ENSG00000158109	6.71787473483502	6.4999036183194	6.97344747217495
ENSG00000116213	4.05839937112709	4.05174870288833	4.14088209414117
ENSG00000227372	3.76774298893343	4.10647135678663	3.70717970549189
ENSG00000130764	5.51509215833013	5.29405555710255	5.66560306057514
ENSG00000116198	4.86072823240441	4.69953287630854	5.14268231122033
ENSG00000198912	4.42567177007376	4.90505714942747	4.33315464250544
ENSG00000131697	3.19994007925916	3.22112117711511	2.94560486325137
ENSG00000116251	6.45720664833108	6.62575136936896	6.32445365641272
ENSG00000116237	7.3952144011665	7.17443341573796	6.91619167344132
ENSG00000158292	2.56941311305918	2.65176273469473	3.1644373411937
ENSG00000097021	4.71245290086479	4.69901927963872	6.23026884246624
ENSG00000215788	3.02832768268615	1.28007672838116	2.17438550173846
ENSG00000171680	5.39218015717531	4.11229506970526	4.20673608487847
ENSG00000162408	4.21524335559238	3.83539429836672	3.95050758547916
ENSG00000204859	3.42137926972108	3.03729347220203	3.4163184440777
ENSG00000162413	6.80887462705292	6.77326525678576	7.06090023440568
ENSG00000116273	4.71442507316852	4.84918577093807	5.58665880410186
ENSG00000041988	3.41849074427968	3.42448247457897	3.43264880832287
ENSG00000007923	5.09661012978748	5.03123438771135	4.82060069405059
ENSG00000171735	3.5960603325999	4.10670144890489	4.35328105904803
ENSG00000049245	6.44067924522879	6.83275188674146	6.9461093171741
ENSG00000116288	7.44554162895392	7.48654262838979	7.26317453854016
ENSG00000116285	5.4678879436212	6.30048395982998	8.47146365480241
ENSG00000142599	6.41901704672888	6.94173809128151	7.23963593081142
ENSG00000074800	9.13279579577277	8.95995047413635	9.66316039547113
ENSG00000142583	1.23424854015491	2.95403912318592	1.71909005355994
ENSG00000180758	2.53840020389593	2.6262899008386	2.59030094598227
ENSG00000228526	3.1593994955394	3.49966522770171	3.08448417846172
ENSG00000049239	5.84511454014719	5.93263085362029	5.36528625387829
ENSG00000171621	7.77103432142347	7.98404966964955	6.60959056460965
ENSG00000171612	2.82871516225313	3.51565325934161	2.88318313653434
ENSG00000188807	3.11472028973747	3.12013134281708	3.25135911999067
ENSG00000171608	3.74750529201516	3.03006774219107	4.39685290400418
ENSG00000171603	7.44960406401052	7.53747628953291	7.36613862197239
ENSG00000178585	4.16832725859916	3.62600630664753	4.28641518489247
ENSG00000162441	3.99998403380265	4.52185913086029	4.44308709268404
ENSG00000173614	3.87171211533714	3.82505258626859	3.92883735834877
