"","Gene.name","Ensembl.ID","lead.SNP","Trait","Other.Traits.GWAS.significant.in.meta.analysis","chr","Variant_posa","Entrez.ID","Distanceb","X.500kbpc","GWAS.Hitd","All_evidencee","EO_OAh","bone.diseases..developmentali","Coloc_Tissuesj","Piccolo_Tissuesk","MetaXcan_Tissuesl","Animal_Skeletonm","msh_Mendelr"
"1","COL11A1","ENSG00000060718","rs4338381","OA_hip","OA;OA_kneehip",1,103572927,"1301",0,1,"1","_EO-OA_Animal-skeletal_","yes",NA,"-","-","-","abnormal costal cartilage morphology; abnormal long bone epiphyseal plate proliferative zone; increased diameter of long bones; abnormal epiphyseal plate morphology; small Meckel's cartilage; abnormal trabecular bone morphology; abnormal joint morphology; abnormal hyaline cartilage morphology; abnormal long bone metaphysis morphology; abnormal long bone diaphysis morphology; decreased bone mineralization; osteoarthritis; abnormal bone marrow cavity morphology; abnormal long bone epiphyseal plate morphology; abnormal joint mobility; decreased length of long bones; abnormal tracheal cartilage morphology; abnormal chondrocyte morphology; short mandible; abnormal endochondral bone ossification","intervertebral disc degeneration|osteochondrodysplasias|vitreous detachment|collagen diseases|myopia|osteochondrodysplasias|abnormalities, multiple|vitreous detachment|dwarfism"
"6","PLEKHO1","ENSG00000023902","1:150214028_CT_C","OA","OA_hip",1,150214028,"51177",77112,1,"2","_Animal-skeletal_",NA,NA,"-","-","-","abnormal osteoblast physiology; increased bone mass; abnormal skeleton development","0"
"23","LAMC1","ENSG00000135862","rs11583641","OA_hip",NA,1,183906245,"3915",791518,0,"4","_DEGProt_DEGmRNA",NA,NA,"-","-","-",NA,"0"
"32","SMYD3","ENSG00000185420","rs10218792","OA",NA,1,245750932,"64754",-919682,0,"6","_DEGmRNA",NA,NA,"-","-","-",NA,"0"
"41","FAM136A","ENSG00000035141","rs3771501","OA","OA_hip;OA_kneehip",2,70717653,"84908",188431,1,"8","_DEGmRNA",NA,NA,"-","-","-",NA,"0"
"49","BMPR2","ENSG00000204217","rs62182810","OA",NA,2,204387482,"659",955008,0,"10","_Animal-skeletal_",NA,NA,"-","-","-","delayed bone ossification; vertebral transformation; decreased rib number; abnormal sternocostal joint morphology","pulmonary veno-occlusive disease|pulmonary veno-occlusive disease|familial primary pulmonary hypertension|drug-related side effects and adverse reactions|hypertension, pulmonary"
"58","IMPDH2","ENSG00000178035","rs62262139","OA",NA,3,50022049,"3615",955208,0,"11","_DEGProt_",NA,NA,"-","-","-",NA,NA
"85","ABHD14B","ENSG00000114779","rs3774355","OA_hip","OA_kneehip",3,52817778,"84836",800353,0,"12","_DEGProt_DEGmRNA",NA,NA,"-","-","-",NA,NA
"95","NISCH","ENSG00000010322","rs3774355","OA_hip","OA_kneehip",3,52817778,"11188",290691,1,"12","_Animal-skeletal_",NA,NA,"-","-","-","abnormal maxilla morphology; abnormal middle ear ossicle morphology; abnormal cranium morphology","0"
"99","GLT8D1","ENSG00000016864","rs3774355","OA_hip","OA_kneehip",3,52817778,"55830",77730,1,"12","_coloc_piccolo_",NA,NA,"gtex7_brain_frontal_cortex_ba9","gtex7_whole_blood;iPSC","-",NA,"0"
