Gene name,Ensembl ID,lead SNP,Trait,Other Traits GWAS significant in meta-analysis,chr,Variant_posa,Entrez ID,Biotype,Distanceb,<500kbpc,GWAS Hitd,All_evidencee,MostSevereConsequencef,PPC_Gene_MODERATEandHIGHg,EO_OAh,"bone diseases, developmentali",Coloc_Tissuesj,Piccolo_Tissuesk,MetaXcan_Tissuesl,Animal_Skeletonm,Prot_logFCn,Prot_FDRo,RNASeq_logFCp,RNASeq_FDRq,msh_Mendelr
COL11A1,ENSG00000060718,rs4338381,OA_hip,OA;OA_kneehip,1,103572927,1301,protein_coding,0,1,1,_EO-OA_Animal-skeletal_,NA,NA,yes,NA,-,-,-,abnormal costal cartilage morphology; abnormal long bone epiphyseal plate proliferative zone; increased diameter of long bones; abnormal epiphyseal plate morphology; small Meckel's cartilage; abnormal trabecular bone morphology; abnormal joint morphology; abnormal hyaline cartilage morphology; abnormal long bone metaphysis morphology; abnormal long bone diaphysis morphology; decreased bone mineralization; osteoarthritis; abnormal bone marrow cavity morphology; abnormal long bone epiphyseal plate morphology; abnormal joint mobility; decreased length of long bones; abnormal tracheal cartilage morphology; abnormal chondrocyte morphology; short mandible; abnormal endochondral bone ossification,NA,NA,NA,NA,"intervertebral disc degeneration|osteochondrodysplasias|vitreous detachment|collagen diseases|myopia|osteochondrodysplasias|abnormalities, multiple|vitreous detachment|dwarfism"
RP11-403I13.10,ENSG00000270962,1:150214028_CT_C,OA,OA_hip,1,150214028,NA,processed_pseudogene,934717,0,2,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.567062176,0.034463487,NA
FCGR1A,ENSG00000150337,1:150214028_CT_C,OA,OA_hip,1,150214028,2209,protein_coding,449954,1,2,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,decreased susceptibility to induced arthritis,NA,NA,NA,NA,0
OTUD7B,ENSG00000264522,1:150214028_CT_C,OA,OA_hip,1,150214028,56957,protein_coding,231403,1,2,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,fusion of vertebral arches,NA,NA,NA,NA,0
VPS45,ENSG00000136631,1:150214028_CT_C,OA,OA_hip,1,150214028,11311,protein_coding,96521,1,2,_DEGProt_,NA,NA,NA,NA,-,-,-,NA,0.16717168,0.008634447,NA,NA,neutropenia|neutropenia
PLEKHO1,ENSG00000023902,1:150214028_CT_C,OA,OA_hip,1,150214028,51177,protein_coding,77112,1,2,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,abnormal osteoblast physiology; increased bone mass; abnormal skeleton development,NA,NA,NA,NA,0
APH1A,ENSG00000117362,1:150214028_CT_C,OA,OA_hip,1,150214028,51107,protein_coding,-27952,1,2,_Animal-skeletal_DEGmRNA,NA,NA,NA,NA,-,-,-,abnormal sclerotome morphology,NA,NA,0.110547695,0.027601034,NA
CIART,ENSG00000159208,1:150214028_CT_C,OA,OA_hip,1,150214028,148523,protein_coding,-45477,1,2,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,0.242246133,0.023472943,NA
RPRD2,ENSG00000163125,1:150214028_CT_C,OA,OA_hip,1,150214028,23248,protein_coding,-235014,1,2,_coloc_,NA,NA,NA,NA,gtex7_testis,-,-,NA,NA,NA,NA,NA,0
TARS2,ENSG00000143374,1:150214028_CT_C,OA,OA_hip,1,150214028,80222,protein_coding,-266057,1,2,_coloc_,NA,NA,NA,NA,gtex7_artery_tibial;gtex7_heart_atrial_appendage;gtex7_adipose_visceral_omentum;gtex7_skin_sun_exposed_lower_leg;gtex7_colon_transverse;gtex7_adipose_subcutaneous,-,-,NA,NA,NA,NA,NA,"metabolism, inborn errors"
ECM1,ENSG00000143369,1:150214028_CT_C,OA,OA_hip,1,150214028,1893,protein_coding,-272237,1,2,Missense_coloc_DEGmRNA,missense_variant,0.05488568,NA,NA,gtex7_brain_caudate_basal_ganglia,-,-,NA,NA,NA,0.47442452,0.000674931,lipoid proteinosis of urbach and wiethe|lipoid proteinosis of urbach and wiethe
ENSA,ENSG00000143420,1:150214028_CT_C,OA,OA_hip,1,150214028,2029,protein_coding,-388060,1,2,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.115335968,0.032305315,0
CTSS,ENSG00000163131,1:150214028_CT_C,OA,OA_hip,1,150214028,1520,protein_coding,-524405,0,2,_Animal-skeletal_DEGmRNA,NA,NA,NA,NA,-,-,-,decreased susceptibility to induced arthritis,NA,NA,0.490288287,0.036320486,0
CTSK,ENSG00000143387,1:150214028_CT_C,OA,OA_hip,1,150214028,1513,protein_coding,-566771,0,2,_Animal-skeletal_DEGmRNA,NA,NA,NA,NA,-,-,-,thin neurocranium; abnormal bone remodeling; short tibia; increased compact bone area; abnormal epiphyseal plate morphology; increased trabecular bone volume; decreased trabecular bone thickness; increased bone trabecula number; abnormal long bone diaphysis morphology; decreased bone ossification; abnormal osteoclast physiology; abnormal osteoblast physiology; abnormal bone structure; increased trabecular bone connectivity density; decreased bone mass; osteoporosis; increased diameter of tibia; fragile skeleton; increased long bone epiphyseal plate size; decreased bone trabecula number; decreased bone mineral density; abnormal alveolar process morphology; abnormal osteoclast differentiation; decreased trabecular bone volume; abnormal phalanx morphology; decreased bone mineralization; abnormal skeleton physiology; increased osteoclast cell number; abnormal tooth development; malocclusion; abnormal skeleton morphology; decreased bone volume; decreased osteoblast cell number; abnormal bone marrow cavity morphology; abnormal jaw morphology; increased bone mineral content; abnormal vertebrae morphology; increased bone trabecular spacing; abnormal osteoid morphology; abnormal long bone morphology; wide cranial sutures; failure of tooth eruption; absent mandibular angle; decreased bone resorption; increased trabecular bone mass; abnormal neurocranium morphology; decreased bone trabecular spacing; abnormal bone resorption; increased bone mineral density; increased osteoblast cell number; increased compact bone volume; large fontanelles; abnormal osteoblast differentiation; increased bone mineralization; abnormal trabecular bone morphology; abnormal compact bone morphology; abnormal tibia morphology; increased bone volume; abnormal long bone metaphysis morphology; increased bone resorption; abnormal osteoclast morphology; increased trabecular bone thickness; osteopetrosis; increased bone ossification,NA,NA,0.371578406,0.006648525,pycnodysostosis|pycnodysostosis
ANXA9,ENSG00000143412,1:150214028_CT_C,OA,OA_hip,1,150214028,8416,protein_coding,-754082,0,2,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,increased rib number,NA,NA,NA,NA,0
MINDY1,ENSG00000143409,1:150214028_CT_C,OA,OA_hip,1,150214028,55793,protein_coding,-766823,0,2,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,increased bone mineral content,NA,NA,NA,NA,NA
MLLT11,ENSG00000213190,1:150214028_CT_C,OA,OA_hip,1,150214028,10962,protein_coding,-826945,0,2,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,0.321056467,0.004395885,0
CENPL,ENSG00000120334,1:174192402_TAAAAAAAAAAAAAAAAA_T,OA,NA,1,174192402,91687,protein_coding,398544,1,3,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,increased sacral vertebrae number,NA,NA,NA,NA,0
DARS2,ENSG00000117593,1:174192402_TAAAAAAAAAAAAAAAAA_T,OA,NA,1,174192402,55157,protein_coding,364718,1,3,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.224196453,0.022437696,leukoencephalopathies|leukoencephalopathies
