geneid	chr	s1	s2
ENSG00000000003	chrX	100627109	100639991
ENSG00000000419	chr20	50934867	50958555
ENSG00000000457	chr1	169849631	169894267
ENSG00000000460	chr1	169662007	169854080
ENSG00000000971	chr1	196651878	196747504
ENSG00000001036	chr6	143494811	143511690
ENSG00000001084	chr6	53497341	53616970
ENSG00000001167	chr6	41072945	41099976
ENSG00000001460	chr1	24356999	24416934
ENSG00000001461	chr1	24415794	24472976
ENSG00000001497	chrX	65512582	65534775
ENSG00000001626	chr7	117465784	117715971
ENSG00000001629	chr7	92246234	92401384
ENSG00000001630	chr7	92112151	92142952
ENSG00000001631	chr7	92198969	92246166
ENSG00000002016	chr12	912077	990053
ENSG00000002330	chr11	64269830	64284704
ENSG00000002549	chr4	17577192	17607972
ENSG00000002586	chrX	2691133	2741309
ENSG00000002822	chr7	1815793	2233243
ENSG00000002834	chr17	38869859	38921770
ENSG00000002919	chr17	48103357	48123074
ENSG00000002933	chr7	150800403	150805120
ENSG00000003056	chr12	8940363	8949955
ENSG00000003393	chr2	201700554	201781189
ENSG00000003402	chr2	201116104	201176687
ENSG00000003436	chr2	187464230	187565760
ENSG00000003509	chr2	37231631	37253403
ENSG00000003756	chr3	50088908	50119021
ENSG00000004059	chr7	127588345	127591705
ENSG00000004139	chr17	28364356	28404049
ENSG00000004142	chr17	28347177	28357522
ENSG00000004399	chr3	129555175	129606818
ENSG00000004455	chr1	33007940	33080996
ENSG00000004478	chr12	2794953	2805423
ENSG00000004487	chr1	23019443	23083689
ENSG00000004534	chr3	49940007	50100045
ENSG00000004660	chr17	3860315	3894891
ENSG00000004700	chr12	21468911	21501669
ENSG00000004766	chr7	93232340	93361121
ENSG00000004776	chr19	35754569	35758079
ENSG00000004779	chr16	23581002	23596356
ENSG00000004799	chr7	95583499	95596491
ENSG00000004864	chr7	96120220	96322147
ENSG00000004866	chr7	116953238	117230103
ENSG00000004897	chr17	47117703	47189422
ENSG00000004961	chrX	11111301	11123078
ENSG00000004975	chr17	7225341	7234545
ENSG00000005007	chr19	18831938	18868236
ENSG00000005020	chr7	26667062	26995239
ENSG00000005022	chrX	119468400	119471319
ENSG00000005059	chr4	109560205	109688726
ENSG00000005073	chr7	27181510	27185223
ENSG00000005075	chr7	102473118	102478907
ENSG00000005100	chr17	5440912	5469060
ENSG00000005102	chr17	43640388	43661954
ENSG00000005156	chr17	34980494	35009743
ENSG00000005175	chr12	47661249	47706061
ENSG00000005194	chr16	57428169	57447528
ENSG00000005206	chr19	2328615	2354806
ENSG00000005238	chr9	35104112	35116341
ENSG00000005243	chr17	48026167	48038030
ENSG00000005249	chr7	107044649	107161811
ENSG00000005302	chrX	11758159	11775753
ENSG00000005339	chr16	3725054	3880726
ENSG00000005436	chr2	75652000	75710989
ENSG00000005448	chr2	74421678	74425755
ENSG00000005469	chr7	87345681	87399795
ENSG00000005483	chr7	105014179	105114361
ENSG00000005486	chr7	75842602	75888926
